layer,cache,component,shape,numel,mean,std,min,max,abs_mean,rms,p01,p50,p99,zero_fraction,residual_to_receiver_rms
13,fused,K,1x8x50x128,51200,0.000653307419270277,1.8461909294128418,-21.5,23.875,1.1551064252853394,1.8461908102035522,-6.0625,-0.0009613037109375,5.5,0.00015624999650754035,
13,fused_minus_receiver,K,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,receiver,V,1x8x50x128,51200,-0.001538693904876709,1.8299251794815063,-36.75,37.0,0.9375718235969543,1.829925775527954,-4.53125,0.0049896240234375,4.4375,0.0,
13,fused,V,1x8x50x128,51200,0.011608678847551346,2.3216724395751953,-50.25,37.5,1.1148649454116821,2.3217012882232666,-5.437812805175781,0.026611328125,5.5625,0.0,
13,fused_minus_receiver,V,1x8x50x128,51200,0.013144179247319698,1.6008553504943848,-39.75,42.5,0.4699329733848572,1.6009092330932617,-2.859375,0.001953125,2.5625,0.022109374403953552,0.8748492723052559
14,receiver,K,1x8x50x128,51200,0.10182138532400131,2.169546127319336,-23.5,29.875,1.2363609075546265,2.1719343662261963,-5.53125,0.0072174072265625,6.3125,0.00019531248835846782,
14,fused,K,1x8x50x128,51200,0.10182138532400131,2.169546127319336,-23.5,29.875,1.2363609075546265,2.1719343662261963,-5.53125,0.0072174072265625,6.3125,0.00019531248835846782,
14,fused_minus_receiver,K,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,receiver,V,1x8x50x128,51200,0.013220171444118023,1.8790324926376343,-46.75,31.5,0.9890937805175781,1.8790791034698486,-4.062812805175781,0.0126953125,4.1878662109375,0.0,
14,fused,V,1x8x50x128,51200,0.013220171444118023,1.8790324926376343,-46.75,31.5,0.9890937805175781,1.8790791034698486,-4.062812805175781,0.0126953125,4.1878662109375,0.0,
14,fused_minus_receiver,V,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,receiver,K,1x8x50x128,51200,-0.06841117143630981,4.240627765655518,-66.5,60.25,1.750896692276001,4.241179466247559,-11.5,0.00115203857421875,9.313232421875,0.00025390624068677425,
15,fused,K,1x8x50x128,51200,-0.179859921336174,4.688891887664795,-66.5,56.75,2.3682429790496826,4.69234037399292,-12.0625,-0.01300048828125,10.375,0.0001367187505820766,
15,fused_minus_receiver,K,1x8x50x128,51200,-0.11143612861633301,1.9328738451004028,-12.6875,11.25,0.9353455901145935,1.936083436012268,-6.75,0.0,5.7191162109375,0.16005858778953552,0.4564964655280773
15,receiver,V,1x8x50x128,51200,0.021932009607553482,1.4800522327423096,-10.3125,10.0,1.104833960533142,1.4802147150039673,-3.796875,0.01092529296875,3.953125,0.0,
15,fused,V,1x8x50x128,51200,0.021932009607553482,1.4800522327423096,-10.3125,10.0,1.104833960533142,1.4802147150039673,-3.796875,0.01092529296875,3.953125,0.0,
15,fused_minus_receiver,V,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,receiver,K,1x8x50x128,51200,0.04184607416391373,2.288120985031128,-39.0,24.875,1.3923183679580688,2.288503646850586,-7.40625,0.01947021484375,6.84375,9.765624417923391e-05,
16,fused,K,1x8x50x128,51200,0.029439065605401993,2.4249355792999268,-35.0,24.5,1.5892013311386108,2.425114393234253,-7.65625,0.02728271484375,6.78125,3.9062499126885086e-05,
16,fused_minus_receiver,K,1x8x50x128,51200,-0.0123974047601223,0.9604324102401733,-10.8125,6.4375,0.442118763923645,0.9605123996734619,-3.2657814025878906,0.0,3.01580810546875,0.2989843785762787,0.41971198123075254
16,receiver,V,1x8x50x128,51200,0.01053637731820345,1.5997815132141113,-10.375,11.5625,1.184626817703247,1.5998162031173706,-4.28125,0.0142822265625,4.0625,0.0,
16,fused,V,1x8x50x128,51200,0.01053637731820345,1.5997815132141113,-10.375,11.5625,1.184626817703247,1.5998162031173706,-4.28125,0.0142822265625,4.0625,0.0,
16,fused_minus_receiver,V,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,receiver,K,1x8x50x128,51200,0.037115540355443954,2.6321754455566406,-31.5,46.0,1.297876238822937,2.632436752319336,-6.65625,-0.001953125,6.1253662109375,0.00019531248835846782,
17,fused,K,1x8x50x128,51200,0.037115540355443954,2.6321754455566406,-31.5,46.0,1.297876238822937,2.632436752319336,-6.65625,-0.001953125,6.1253662109375,0.00019531248835846782,
17,fused_minus_receiver,K,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,receiver,V,1x8x50x128,51200,-0.053228043019771576,2.4295554161071777,-13.75,18.375,1.8279982805252075,2.430138349533081,-6.34375,-0.01934814453125,6.03125,0.0,
17,fused,V,1x8x50x128,51200,-0.02345133200287819,2.6939122676849365,-16.375,18.5,2.016545295715332,2.694014310836792,-7.0,-0.011810302734375,6.9375,5.859374869032763e-05,
17,fused_minus_receiver,V,1x8x50x128,51200,0.029782414436340332,1.1873027086257935,-15.125,13.8125,0.6343084573745728,1.1876763105392456,-3.5,0.0,3.84375,0.09810546785593033,0.48872785813509007
18,receiver,K,1x8x50x128,51200,0.04487961530685425,2.225235939025879,-28.5,30.75,1.3639564514160156,2.2256884574890137,-6.34375,-0.001209259033203125,7.59375,0.0001367187505820766,
18,fused,K,1x8x50x128,51200,0.04487961530685425,2.225235939025879,-28.5,30.75,1.3639564514160156,2.2256884574890137,-6.34375,-0.001209259033203125,7.59375,0.0001367187505820766,
18,fused_minus_receiver,K,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,receiver,V,1x8x50x128,51200,-0.034226398915052414,2.338881254196167,-14.0625,15.9375,1.7720685005187988,2.3391315937042236,-6.000312805175781,-0.019287109375,5.875,0.0,
